date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:44:46	188483/188483	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2022:07:00%20GMT	https://jetninjapro.com/	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/index.html	(from )
05:44:48	111/111	---M-Z	200	added ('OK')	text/plain	date:Thu,%2001%20Feb%202024%2008:44:46%20GMT	https://jetninjapro.com/robots.txt		(from )
05:44:48	1253/1253	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2015:22:58%20GMT	https://jetninjapro.com/wp-content/cache/min/1/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=1706541778	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/wp-content/cache/min/1/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/mainfd26.css	(from https://jetninjapro.com/)
05:44:48	5756/5756	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Dec%202023%2010:46:25%20GMT	https://jetninjapro.com/wp-content/themes/hello-elementor/style.min.css?ver=2.9.0	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/wp-content/themes/hello-elementor/style.min5b0a.css	(from https://jetninjapro.com/)
05:44:48	12439/12439	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Dec%202023%2010:46:25%20GMT	https://jetninjapro.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.9.0	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/wp-content/themes/hello-elementor/theme.min5b0a.css	(from https://jetninjapro.com/)
05:44:49	20049/20049	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2015:22:58%20GMT	https://jetninjapro.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1706541778	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minfd26.css	(from https://jetninjapro.com/)
05:44:49	173152/173152	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2015:08:08%20GMT	https://jetninjapro.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1706540888	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/wp-content/uploads/elementor/css/custom-frontend.mindd3a.css	(from https://jetninjapro.com/)
05:44:49	12876/12876	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2013:29:55%20GMT	https://jetninjapro.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://jetninjapro.com/)
05:44:49	1267/1267	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2015:08:08%20GMT	https://jetninjapro.com/wp-content/uploads/elementor/css/post-7.css?ver=1706540888	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/wp-content/uploads/elementor/css/post-7dd3a.css	(from https://jetninjapro.com/)
05:44:50	452997/452997	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2015:08:08%20GMT	https://jetninjapro.com/wp-content/uploads/elementor/css/custom-pro-frontend.min.css?ver=1706540888	C:/Users/Duzin%20kkkj/Downloads/LANDINPAGE%2007%20CLONEX/FGFGFGFGFGFGFGFGFGFGFGFGFGFG/jetninjapro.com/wp-content/uploads/elementor/css/custom-pro-frontend.mindd3a.css	(from https://jetninjapro.com/)
